N1,T1,N2,T2,N3,T3,N4
3,304,6,136,6,232,8
3,279,6,128,6,208,8
6,192,3,248,9,304,7
6,200,3,208,9,192,7
6,160,3,216,9,208,7
8,192,9,176,6,176,5
8,192,9,176,6,192,5
8,184,9,183,6,152,5
4,166,5,240,7,384,9
4,192,5,200,7,224,9
4,176,5,208,7,232,9
2,224,7,192,8,224,1
2,216,7,184,8,216,1
2,224,7,176,8,256,1
5,208,1,384,6,296,4
5,200,1,184,6,224,4
5,191,1,193,6,216,4
8,392,3,248,4,200,2
8,200,3,224,4,184,2
8,208,3,224,4,192,2
5,232,7,328,6,320,1
5,231,7,272,6,232,1
5,216,7,200,6,232,1
4,200,6,240,1,176,4
4,176,6,216,1,160,4
4,176,6,240,1,152,4
2,216,8,224,7,191,5
2,296,8,248,7,200,5
2,232,8,216,7,208,5
2,400,6,152,6,200,7
2,320,6,176,6,232,7
2,288,6,160,6,184,7
3,344,8,160,8,232,6
3,360,8,184,8,224,6
3,320,8,160,8,192,6
4,344,0,159,0,144,0
4,360,0,152,0,152,0
4,392,0,168,0,128,0
9,220,5,280,7,152,7
9,312,5,256,7,176,7
9,264,5,264,7,184,7
1,304,6,216,9,208,6
1,328,6,200,9,192,6
1,424,6,184,9,184,6
4,216,8,216,3,200,2
4,208,8,256,3,184,2
4,200,8,232,3,199,2
1,264,5,288,0,272,9
1,208,5,240,0,208,9
1,248,5,240,0,200,9
8,240,4,200,2,151,1
8,232,4,224,2,168,1
8,240,4,240,2,192,1
8,200,5,240,2,408,9
8,200,5,160,2,256,9
8,216,5,168,2,272,9
9,264,3,208,6,192,9
9,240,3,192,6,184,9
9,264,3,200,6,208,9
5,200,6,208,7,216,2
5,296,6,280,7,248,2
5,192,6,208,7,248,2
8,224,0,304,3,240,7
8,208,0,296,3,224,7
8,200,0,312,3,224,7
3,336,1,175,1,200,2
3,304,1,144,1,256,2
3,304,1,168,1,184,2
5,206,0,336,9,288,1
5,192,0,216,9,288,1
5,175,0,225,9,232,1
0,232,8,200,5,352,9
0,240,8,224,5,216,9
0,216,8,224,5,192,9
8,224,7,328,3,200,5
8,199,7,289,3,208,5
8,200,7,272,3,184,5
9,232,0,344,9,168,9
9,240,0,368,9,192,9
9,224,0,320,9,160,9
5,183,3,240,0,288,1
5,176,3,248,0,296,1
5,184,3,256,0,328,1
6,152,6,272,1,256,7
6,136,6,288,1,263,7
6,144,6,288,1,248,7
0,208,5,192,0,248,3
0,200,5,208,0,320,3
0,216,5,192,0,304,3
8,143,8,321,3,264,4
8,128,8,304,3,264,4
8,136,8,288,3,280,4
5,480,2,192,2,176,2
5,416,2,200,2,168,2
5,400,2,200,2,175,2
3,272,9,328,7,272,1
3,288,9,368,7,248,1
3,328,9,320,7,240,1
